slank word,normal
mmgnya,memangnya
hadeh,aduh
lbh,lebih
mmbntuu,membantu
bgud,bagus
g,tidak
bsa,bisa
lbih,lebih
jdi,jadi
ksini,kesini
trf,transfer
sblm,sebelum
a,nya
jafi,jadi
mhal,mahal
bagys,bagus
lahi,lagi
muantab,mantap
mantappp,mantap
hdeh,aduh
draver,pengemudi
bnyakin,perbanyak
sking,saking
bgs,bagus
antr,antar
jmput,jemput
skrng,sekarang
promoa,promonya
lamat,alamat
sd,sudah
skali,sekali
bbrp,beberapa
bbrapa,beberapa
gka,tidak
sneng,senang
lmyan,lumayan
brguna,berguna
smnjak,semenjak
wkt,waktu
kdg,kadang
tu,itu
yachh,iya
dluu,dulu
sllu,selalu
mantaf,mantap
w,saya
mw,mau
sblm,sebelum
blm,belum
q,aku
x,kali
blik,balik
jlas,jelas
pemby,pembayaran
lwt,lewat
ttep,tetap
sllu,selalu
bet,banget
masok,masuk
cma,cuma
smp,sampai
trnyt,ternyata
make,memakai
idup,hidup
mmbntu,membantu
pdhl,padahal
donk,dong
ksni,kesini
trbantu,terbantu
utk,untuk
tp,tapi
skrng,sekarang
thnx,terima kasih
tgl,tanggal
kr,ke
mmberatkn,memberatkan
misquin,miskin
pdhl,padahal
gnti,ganti
byr,bayar
mao,mau
mehong,mahal
slmat,selamat
nyri,nyari
prnh,pernah
bngst,bangsat
thn,tahun
lg,lagi
syg,sayang
tuq,untuk
nj,anjing
yh,iya
msk,masuk
gersk,gerak
jrk,jarak
dekt,dekat
smoga,semoga
mbantu,membantu
yq,yang
bs,bisa
lbh,lebih
ms,mas
y,iya
ama,sama
dunks,dong
mlh,malah
lwt,lewat
mantab,mantap
d,di
hub,hubungi
ug,yang
tdk,tidak
hisa,bisa
ng,tidak
mmbntu,membantu
sepurna,sempurna
smua,semua
pengen,ingin
u,kamu
plng,pulang
trpaksa,terpaksa
vocer,voucher
tlg,tolong
marka,mereka
tdrkirim,dikirim
sndri,sendiri
krja,kerja
sgla,segala
trlalu,terlalu
dpt,dapat
tnpa,tanpa
hrus,harus
tkut,takut
sgt,sangat
page,pakai
memmbantu,membantu
tayak,tanya
derever,driver
kasiyan,kasihan
mantep,mantap
swmakin,semakin
repisi,revisi
ntaps,mantap
lbih,lebih
ud,sudah
pdhl,padahal
sm,sama
mntap,mantap
mntapa,mantap
cangih,canggih
tu,untuk
tx,terima kasih
ank,anak
sy,saya
aplikasiini,aplikasi ini
eror,error
apus,hapus
mssuk,masuk
aj,aja
riil,real
stgh,setengah
apps,aplikasi
ngeleg,lag
mwantab,mantap
pantes,pantas
trim,terima
jg,juga
anjg,anjing
dm,diamond
tije,transjakarta
appnya,aplikasinya
mantul,mantap betul
bae,baik
kwan,kawan
senilay,senilai
pesenin,pesankan
kq,kok
muantap,mantap
mksi,terima kasih
ttp,tetap
verygood,very good
lngsung,langsung
axtipitas,aktivitas
smu,semua
pk,pakai
kluar,keluar
komotitor,kopetitor
draver,driver
smoga,semoga
hanphon,telepon
smapah,sampah
bet,banget
dtp,dapat
sring,sering
god,good
tranper,transfer
bjam,jam
wokey,ok
lbh,lebih
mbleset,meleset
bingit,banget
may,mau
prektis,praktis
kacaw,kacau
trnsit,transit
erorr,error
krtu,kartu
bat,banget
dilbihin,dilebihin
dobel,double
bru,baru
gopya,gopay
sngat,sangat
nmr,nomor
fi,di
gbisa,tidak bisa
aga,sedikit
mkin,makin
brmasalah,masalah
donlod,download
tank,terima kasih
ttik,titik
mesan,memesan
deket,dekat
bgaimana,bagaimana
tydack,tidak
dr,dari
klen,kalian
ntap,mantap
rting,rating
disat,disaat
hdir,hadir
selu,selalu
bosqu,bos
biri,buru
ferfom,performa
drifer,driver
tlongpihak,tolong pihak
syabuat,saya buat
rame,ramai
tampa,tanpa
males,malas
nyobak,coba
ngaret,terlambat
goog,good
donk,dong
terimakasi,terima kasih
gk,tidak
thanks,terima kasih
sempel,simpel
garibet,tidak ribet
keakurtan,keakuratan
mbantu,membantu
sagat,sangat
tlpn,telepon
kasian,kasihan
kndraaan,kendaraan
driverjya,driver
pgguna,pengguna
pot,potongan
tq,terima kasih
biyaya,biaya
dg,dengan
bgus,bagus
dn,dan
kn,kan
sagat,sangat
txs,terima kasih
sekale,sekali
mantul,mantap betul
keyeeennn,keren
gacor,keren
tdur,tidur
tdr,tidur
rekomen,rekomendasi
kalp,kalau
mantabs,mantap
gud,good
gokils,gokil
leqat,lewat
yh,iya
gag,tidak
mantao,mantap
fulsa,pulsa
mantulll,mantap betul
mantaps,mantap
nanyaek,bertanya
dunk,dong
kasian,kasihan
jendaral,jendral
leg,lag
kiling,keliling
ma,sama
ktnya,katanya
trx,transaksi
dgn,dengan
psti,pasti
lgsg,langsung
apl,aplikasi
komplet,komplit
gercep,cepat
bru,baru
donlot,download
tbah,tambah
mehong,mahal
nyedot,menyedot
sdngkan,sedangkan
kyak,kayak
macam,seperti
tak,tidak
sgla,segala
imel,email
gugel,google
cri,cari
lo,kamu
lu,kamu
dh,sudah
bntang,bintang
gejeng,gojek
orng,orang
masalh,masalah
naju,maju
sobat,sahabat
bgmn,bagaimana
wlyh,wilayah
mmpermudah,mempermudah
dng,dengan
tarip,tarif
kga,tidak
qu,aku
tryta,ternyata
sndri,sendiri
akurt,akurat
uwang,uang
membntu,membantu
enk,enak
bntu,bantu
seklinya,sekalinya
slali,selalu
dsb,dan sebagainya
mayan,lumayan
nmbh,nambah
vervikasi,verifikasi
mancap,mantap
muantep,mantap
na,nya
gmna,bagaimana
sanagt,sangat
aq,aku
pokoke,pokoknya
lbih,lebih
amn,aman
tq,terima kasih
tulman,mantap
lawack,lawak
atitudnya,sikapnya
jgi,jadi
perubhn,perubahan
mulu,melulu
rebu,ribu
klaw,kalau
gue,saya
pelyanan,pelayanan
smua,semua
tdk,tidak
ceoat,cepat
gojwk,gojek
asw,asu
aktifitaa,aktivitas
keaeharian,keseharian
rekomen,rekomendasi
srba,serba
tirima,terima
skrng,sekarang
sekale,sekali
pke,pakai
mabtap,mantap
jatoh,jatuh
ajh,saja
srtakkkn,sertakan
smngattt.semangat
upgerd,upgrade
ywdah,yaudah
bg,bang
gjls,tidak jelas
nyetir,menyetir
tetep,tetap
kehidupa,kehidupan
spy,supaya
upgred,upgrade
yha,iya
kenap,kenapa
tdak,tidak
bbgus,bagus
donglwod,download
lamaeskipun,lama meskipun
deket,dekat
bener,benar
vermuk,verifikasi muka
mantav,mantap
sldo,saldo
kensel,tolak
guug,good
pokona,pokoknya
kezel,kesal
deraeper,driver
deraper,driver
gercep,gerak cepat
slah,salaha
asyikkk,asyik
draiver,driver
byaar,bayar
pinjem,pinjam
gede,besar
kakean,kebanyakan
notipikasi,notifikasi
yqng,yang
mksi,terima kasih
sangap,sangat
mo,mau
skr,sekarang
trmksih,terima kasih
mmbatalkan,membatalkan
perporma,performa
trima,terima
uenak,enak
mantao,mantap
admint,admin
hny,hanya
makain,makin
makasih,terima kasih
naek,naik
lemog,lemot
sikit,sedikit
mesen,memesan
moso,masa
kudu,harus
nex,next
nguriin,merugikan
gbs,tidak bisa
mantuul,mantap
k,ke
betkembang,berkembang
peromo,promo
aqu,aku
gblk,goblok
apliaksinya,aplikasinya
ndaftar,daftar
bpk,bapak
lnacar,lancar
tbtb,tiba tiba
affa,apa
iyha,iya
trm,terima
mantapks,mantap
m,sama,
cepst,cepat
amsn,aman
gabisa,tidak bisa
daduri,darurat
ngk,tidak
nanyakk,bertanya
sblmny,sebelumnya
wktu,waktu
ngaco,kacau
coman,cuman
nasdang,nasi padang
teoat,tepat
ngatasin,mengatasi
komtoll,kontol
lanbat,lambat
makannan,makanan
kenaapaya,kenapa
mutugojek,mutu gojek
melemamah,melemah
milihin,memilih
ilang,hilang
ats,atas
sklian,sekalian
gjeg,gojek
naeknya,naiknya
dkit,sedikit
teroos,terus
nyesel,menyesal
mesen,memesan
rmh,rumah
bgtt,banget
cansel,cancel
dolot,download
makasi,terima kasih
ngatasin,mengatasi
pemer,pamer
makannan,makanan
menyenanfkan,menyenangkan
mqsa,masa
sbuk,sibuk
ggl,gagal
trus,terus
ngarep,berharap
idup,hidup
gaje,tidak jelas
tampa,tanpa
nyusahin,menyusahkan
st,stasiun
bbruk,buruk
biaa,bisa
hnya,hanya
knpa,kenapa
ibuk,ibu
ngerti,mengerti
mainn,main
sellu,selalu
taoi,tapi
pesen,pesan
sich,sih
sni,sini
emng,emang
nginstal,install
sbr,sabar
sampe,sampai
ank,anak
uda,sudah
sring,sering
bget,banget
ditlfn,ditelepon
bbrp,beberapa
dibls,dibalas
bw,bawa
skr,sekarang
vak,tidak
sll,selaliu
mndpt,mendapat
paltinum,platinum
sebalah,sebelah
bngtt,banget
tdk,tidak
bngt,banget
terbantuin,terbantu
adanua,adanya
transfortasi,transportasi
vitur,fitur
taii,tahi
tyjuan,tujuan
nyampa,sampai
x,nya
lam,lama
trimakasih,terima kasih
trima,terima
drifer,driver
sprti,seperti
prktis,praktis
blnja,belanja
pmbayaran,pembayaran
bnyar,bayar
selvi,selfie
ranting,rating
mmpus,mampus
ne,ini
rame,ramai
tibatiba,tiba tiba
kuq,kok
tlng,tolong
hbis,habis
blm,belum
aflikasi,aplikasi
knmblikn,kembalikan
byk,banyak
terlelu,terlalu
n,dan
spt,seperti
suke,suka
kalem,santai
nyetirnya,mengemudinya
padalaj,padahal
pertahsnkan,pertahankan
trims,terima kasih
amet,sangat
buanyak,banyak
ngisi,mengisi
gj,tidak jelas
aga,sedikit
sammp,sampai
suda,sudah
system,sistem
deket,dekat
rahma,ramah
benget,banget
ahir,akhir
stngah,setengah
kntol,kontol
kntl,kontol
inh,ini
kga,tida
pnjem,pinjem
tba,tiba
byar,bayar
lbh,lebih
mkn,semakin
lynan,layanan
kualitasnyq,kualitasnya
kewren,keren
kalu,kalau
najs,najis
telfon,telepon
brsm,bersama
slmt,selamat
smpai,sampai
drever,driver
perkotan,perkotaan
ngga,tidak
baghet,banget
enk,enak
yyang,yang
tiak,tidak
plz,tolong
nampak,tampak
jjk,jijik
nerima,terima
kasi,kasih
disabelitas,disabilitas
memuasksn,memuaskan
mhn,mohon
dlm,dalam
pke,pakai
jlas,jelas
transper,transfer
kno,kenapa
berthun,bertahun
sensara,sengsara
bangt,banget
u,kamu
nekek,mencekik
dinaek,dinaik
pertma,pertama
jlasi,jelaskan
maksd,maksud
msalah,masalah
msalahnya,masalahnya
dsn,dan
updatet,updated
nelpon,telepon
bingit,banget
gimanasi,bagaimana
perbaikin,perbaiki
kekgitu,seperti itu
mlu,mulu
shy,sangat
kelen,kalian
terimkasih,terima kasih
mskin,makin
tks,terima kasih
iyh,iya
gwe,saya
amat,sekali
bng,bang
blum,belum
bsok,besok
klau,kalau
gx,tidak
mash,masih
melkukan,melalukan
ere,era
prjlnn,perjalanan
gopud,gofood
ma,sama
tll,terlalu
maff,maaf
bwt,buat
oembelian,pembelian
bgm,bagaimana
b,biasa
ajh,saja
stlh,setelah
bbrpa,beberapa
mlnjutkan,melanjutkan
wrg,warung
aflikasi,aplikasi
stdby,standby
tapj,tapi
ngalihin,mengalihkan
nyuekin,cuek
ap,apa
gjlas,tidak jelas
padet,padat
benerin,benarkan
oesanan,pesanan
dprbaiki,diperbaiki
gga,tidak
sriusan,serius
kenceng,kencang
bhkn,bahkan
lola,lemot
psen,pesan
ndk,tidak
pakek,pakai
terimakasih,terima kasih
gj,tidak jelas
bet,banget
mayan,lumayan
dekar,dekat
ngebantu,membantu
trkdng,terkadang
nerima,terima
hanyak,hanya
sempet,sempat
alamatx,alamatnya
x,nya
mbl,mobil
samasekali,sama sekali
ckap,cakep
nyg,yang
smg,semoga
yq,yang
gabis,tidak bisa
kweren,keren
bekuin,bekukan
gak,tidak
bykin,perbanyak
berblnja,berbelanja
nambaj,nambah
sepaoh,separuh
adm,admin
sgtu,segitu
ordeeean,orderan
kepana,kenapa
biyar,biar
laen,lain
bikkin,bikin
tuk,untuk
sj,saja
mna,mana
knpa,kenapa
oks,ok
bankrut,bangkrut
hmpr,hampir
gnt,ganti
mggu,minggu
nanyae,bertanya
sngat,sangat
trbaik,terbaik
pembyrn,pembayaran
terbntu,terbantu
dn,dan
utk,untuk
mo,mau
mnitan,menit
kasian,kasihan
trutama,terutama
samarkn,samarkan
trpilih,terpilih
tmn,teman
ketagian,ketagihan
jrang,jarang
layana,layanan
vitur,fitur
planyanansangat,pelayanan sangat
mangstap,mantap
muantap,mantap
trsebut,tersebut
mtor,motor
lbih,lebih
msen,mesan
pedahal,padahal
inj,ini
plng,pulang
mnjauh,menjauh
trpaksa,terpaksa
dcancel,dicancel
aktvts,aktivitas
antr,antar
ndak,tidak
smuanya,semuanya
trhapus,terhapus
lgsg,langsung
smga,semoga
mklum,maklum
jade,jadi
unggulam,unggulan
smakin,semakin
gpjek,gojek
daata,data
existensi,eksistensi
nempertahankan,mempertahankan
muantab,mantap
mwmbantu,membantu
lbih,lebih
sskarang,sekarang
gede,besar
ngaco,kacau
kalou,kalau
dapetnya,dapatnya
nomer,nomor
nyalip,menyalip
sebell,sebal
terimaksih,terima kasih
memudahkqn,memudahkan
ranting,rating
smua,semua
slalun,selalu
gohek,gojek
bgtu,begitu
kesian,kasihan
galagi,tidak lagi
previkasai,verifikasi
bkl,bakal
nyesel,menyesal
kelaperan,kelaparan
nyiksa,menyiksa
wat,buat
bgmnh,bagaimana
apdeddd,update
jagan,jangan
gpp,tidak apa apa
kmanapun,kemanapun
gojem,gojek
gag,tidak
tmbh,tambah
kenapsih,kenapa sih
ksana,kesana
ajhh,aja
narok,taruh
ferivikasi,verifikasi
klarnya,selesainya
kpan,kapan
mayan,lumayan
bungan,bunga
narik,tarik
kmren,kemarin
rame,ramai
kece,keren
pitur,fitur
tsb,tersebut
kasi,kasih
seblah,sebelah
malem,malam
sekip,skip
dscrennsot,discreenshot
gjelas,tidak jelas
tadisiang,tadi siang
ferifikasi,verifikasi
updet,update
giod,good
sgt,sangat
qu,aku
steaming,streaming
memberis,memberi
laiks,suka
gweh,saya
sruh,suruh
regist,registrasi
krnapa,kenapa
ojg,ojek
dsiruh,disuruh
perfome,performa
ngha,tidak 
ad,ada
tau,tahu
updete,update
kren,keren
verifi,verifikasi
dam,dan
vitur,fitur
kmrn,kemarin
lw,kamu
gofay,gopay
gofud,gofood
pnh,pernah
gotik,gotix
psti,pasti
tidk,tidak
ntr,nanti
ngasi,memberi
dipake,dipakai
mhal,mahal
sblh,sebelah
kyak,seperti
dk,sudah
drivwr,driver
anggep,anggap
bangke,bangkai
tuker,tukar
inpokan,informasikan
fav,favorit
txs,terima kasih
krng,kurang
ktanya,katanya
brjam,berjam
skli,sekali
membatntu,membantu
bgus,bagus
menbantu,membantu
diinstal,diinstall
alsih,kasih
kwcewa,kecewa
ywdah,yaudah
sll,selalu
mehong,mahal
prem,premium
malez,malas
bingits,banget
memventu,membantu
potongan,potongan
jmpt,jemput
goopay,gopay
goshoop,goshop
kle,kali
goseng,gosend
ortu,orang tua
smgt,semangat
mgnglkan,mengandalkan
bkrja,bekerja
kuck,luck
menghdpi,menghadapi
dwsa,dewasa
mndptka,mendapatkan
kdang,kadang
mntap,mantap
draivernya,drivernya
kasian,kasihan
ferry,very
persen,pesan
klu,kalau
goffod,gofood
censel,cancel
smestinya,semestinya
dtgny,datangnya
gopod,gofood
gored,gorid
gosen,gosend
lumyn,lumayan
baget,banget
aekali,sekali
bagws,bagus
trbilang
paymen,payment
snagat,sangat
buanget,banget
lw,kamu
ilang,hilang
deriver,driver
ne,ini
lbh,lebih
dikensel,dicancel
leter,later
nie,ini
episien,efisien
castemer,customer
kastemer,customer
pnjmputn,penjemputan
rahma,ramah
jlk,jelek
bner,benar
stiap,setiap
pnting,penting
pemsan,pemesanan
ubahlh,ubahlah
gilx,gila
bjntang,bintang
maafkn,maafkan
dikla,dikala
mksh,terima kasih
drever,driver
mrmbantu,membantu
onli,online
bsnyakin,banyakin
daftra,daftar
dreferl,driver
ngerekrut,merekrut
plyammya,pelayanannya
grtis,gratis
mlah,malah
colaborasi,kolaborasi
tolg,tolong
dksh,dikasih
fersi,versi
kmudian,kemudian
sampek,sampai
guna,berguna
drngan,dengan
riting,rating
pakein,pakaikan
muter,mutar
pwercaya,percaya
mmg,memang
atw,atau
telen,telan
maen,main
riendly,friendly
keafaan,keadaan
blas,balas
castamer,customer
gopat,gopay
lagu,lagi
pemaika,pemakai
teroooss,terus
trm,terima
ksh,kasih
trjadi,terjadi
nomer,nomor
smua,semua
ekxtrem,ekstrem
dtg,datang
bangedt,banget
system,sistem
konsisyen,konsisten
admind,admin
goojek,gojek
Memudahkqn,Memudahkan
anter,antar
plih,pilih
unfaedah,tidak berfaedah
mgu,minggu
pakia,pakai
gopqy,gopay
sengke,bangkai
tibah,tiba
setres,stres
porgam,program
kesihan,kasihan
fiktur,fitur
gunaiin,gunakan
gimanaa,bagaimana
kyk,seperti
bauk,bau
taex,tahi
bgud,bagus
brpotensi,berpotensi 
seoerti,seperti
jafi,jadi
bnyakin,perbanyak
banyakin,perbanyak
bagys,bagus
sory,sorry
dryver,driver
discone,discount 
tida,tidak
kocak,lucu
menngikuti,mengikuti
becandaan,bercandaan
segede,sebesar
kenapamacet,kenapa macet
rekg,rekening
jkarta,jakarta
reffund,refund 
shrus,seharusnya
repoot,repot
toling,tolog
gka,tidak
sangatbsenang,sangat senang 
separonya,separuhnya
nyicil,cicil
tu,itu
gwsama,saya sama
tengok,lihat
cus,customer
bekum,belum
goggle,google
baiaya,biaya
bekum,belum
manthaap,mantap
mnding,mending
sekses,sukses
mantqpppp,mantap
ex,mantan
discoublnt,discount
pelayananny,pelanyanannya
bagussssse,bagus
ditelfon,ditelepon
lokadi,lokasi
ddlmnya,didalamnya
kt,kata
nasipnya,nasibnya
sekaleee,sekali
kereeee,miskin
nyusahin,menyusahkan
kereeenn,keren
murce,murah
bsgus,bagus
nantul,mantap betul
gopaypinjam,gopay pinjam
ttep,tetap
mamtap,mantap
kssel,kesal
bet,banget
taik,tahi
wlapun,walaupun
cariin,carikan
makain,makin
kebanyakn,kebanyakan
blng,bilang
najoonk,najis
makkn,makin
konfol,kontol
tingkatnkan,tingkatkan
bebanin,bebankan
kenceng,kencang
dicuba,dicoba
kusus,khusus
sangan,sangat
matiin,matikan
oelh,oleh
kelaperan,kelaparan
xontol,kontol
syrat,syarat
goodjob,good job
adanys,adanya
frefikasi,verifikasi
mnderita,menderita
barux,barunya
ordernx,orderannya
berhrp,berharap
ordere,order
krmin,kemarin
maximal,maksimal
syg,sayang
nj,ini
bgtt,banget
gopey,gopay
buwat,buat
jrk,jarak
dekt,dekat
oky,ok
lngsung,langsung
unist,uninstall
nyerah,menyerah
brmlasah,bermalasah
dihunakan,digunakan
wilaya,wilayah
ttup,tutup
utang,hutang
marka,mereka
tdrkirim,dikirim
driverx,drivernya
sndri,sendiri
trlalu,terlalu
cstmer,customer
aktip,aktif
faham,paham
cacad,cacat
brngkt,berangkat
ngisi,mengisi
ckp,cukup
menyukitkan,menyulitkan
semangt,semangat
sampek,sampai
naruk,taruh
swmakin,semakin
mantao,mantap
gag,tidak
nyari,cari
ngecewain,mengecewakan
yerutama.terutama
bkin,bikin
ngandelin,mengandalkan
negri,negeri
gx,tidak
banhet,banget
ngantar,mengantar
slmet,selamat
sjak,sejak
smntra,sementara
smntr,sementara
stdkny,setidaknya
perjmputan,penjemputan
diandelin,diandalkan
oengantaran,pengantaran
penglmn,pengalaman
loging,login
moga,semoga
